titolo,piattaforma,anno,genere,colori_schermo,colore_dominante,url_copertina
Super Mario Bros.,NES,1985,Platform,23,#5C94FC,https://upload.wikimedia.org/wikipedia/en/0/03/Super_Mario_Bros._box.png?_=20240826131447
Duck Hunt,NES,1984,Shooter,14,#708090,https://upload.wikimedia.org/wikipedia/it/1/14/DuckHuntBox.jpg
Super Mario World,SNES,1990,Platform,126,#5C94FC,https://upload.wikimedia.org/wikipedia/en/3/32/Super_Mario_World_Coverart.png
Super Mario Bros. 3,NES,1988,Platform,24,#5C94FC,https://upload.wikimedia.org/wikipedia/en/a/a5/Super_Mario_Bros._3_coverart.png
Super Mario All-Stars,SNES,1993,Platform,190,#5C94FC,https://upload.wikimedia.org/wikipedia/en/3/3c/Super_Mario_All_Stars_%28game_box_art%29.jpg
Donkey Kong Country,SNES,1994,Platform,182,#8B4513,https://upload.wikimedia.org/wikipedia/en/1/1a/Donkey_Kong_Country_SNES_cover.png
Super Mario Kart,SNES,1992,Racing,177,#5C94FC,https://upload.wikimedia.org/wikipedia/en/3/38/Supermariokart_box.JPG
Super Mario Bros. 2,NES,1988,Platform,15,#5C94FC,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Super_Mario_Bros._2_box_art.png/250px-Super_Mario_Bros._2_box_art.png
The Legend of Zelda,NES,1986,Action,24,#48B048,https://upload.wikimedia.org/wikipedia/en/4/41/Legend_of_zelda_cover_%28with_cartridge%29_gold.png
Street Fighter II: The World Warrior,SNES,1992,Fighting,146,#FFA500,https://images.nintendolife.com/14e400e7552c9/street-fighter-ii-the-world-warrior-cover.cover_large.jpg
Sonic the Hedgehog 2,GEN,1992,Platform,61,#0000FF,https://upload.wikimedia.org/wikipedia/en/0/0c/Sonic_2_US_Cover.jpg
Tetris,NES,1988,Puzzle,24,#A020F0,https://upload.wikimedia.org/wikipedia/en/7/7d/Tetris_NES_cover_art.jpg
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,142,#8B4513,https://upload.wikimedia.org/wikipedia/it/1/17/Donkey_Kong_Country_2-_Diddy%27s_Kong_Quest.jpg
Dr. Mario,NES,1990,Puzzle,22,#5C94FC,https://upload.wikimedia.org/wikipedia/en/f/f8/Dr._Mario_box_art.jpg
The Legend of Zelda: A Link to the Past,SNES,1991,Action,228,#48B048,https://upload.wikimedia.org/wikipedia/it/6/66/The_Legend_of_Zelda_-_A_Link_to_the_Past.png
Zelda II: The Adventure of Link,NES,1987,Adventure,13,#48B048,https://upload.wikimedia.org/wikipedia/en/f/fd/Zelda_II_The_Adventure_of_Link_box.jpg
Sonic the Hedgehog,GEN,1991,Platform,40,#0000FF,https://upload.wikimedia.org/wikipedia/en/b/ba/Sonic_the_Hedgehog_1_Genesis_box_art.jpg
Teenage Mutant Ninja Turtles,NES,1989,Action,14,#B22222,https://upload.wikimedia.org/wikipedia/en/5/54/Teenage_Mutant_Ninja_Turtles_%281989_video_game%29.jpg
Excitebike,NES,1984,Racing,16,#32CD32,https://upload.wikimedia.org/wikipedia/en/f/f8/Excitebike_cover.jpg
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,179,#5C94FC,https://upload.wikimedia.org/wikipedia/en/9/9a/Yoshi%27s_Island_%28Super_Mario_World_2%29_box_art.jpg
Street Fighter II Turbo,SNES,1992,Fighting,249,#FFA500,https://gamesandmovies.it/media/catalog/product/4/7/47383--street-fighter-ii-turbo.png
Golf,NES,1984,Sports,22,#32CD32,https://upload.wikimedia.org/wikipedia/en/9/92/Golf_Coverart.png
Dragon Warrior III,NES,1988,Role-Playing,13,#228B22,https://upload.wikimedia.org/wikipedia/en/b/b8/Dragon_Warrior_III.jpg
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,170,#8B4513,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBVAGFcQTEW5E7mJ_2I-nk80utFSbVBT_PpQ&s
